15:36:46:001 | INFO    | C:\Users\Fractal\protocol\server\handle_client_message.c |         handleUserInputMessage:100   | Handle user input message received 
15:36:46:001 | INFO    | C:\Users\Fractal\protocol\server\handle_client_message.c |         handleUserInputMessage:125   | Keyboard message received: 22, 64, 1 
15:36:46:058 | INFO    | C:\Users\Fractal\protocol\fractal\utils\logging.c |                   updateStatus:792   | Update Status: Connected 
15:36:46:060 | INFO    | C:\Users\Fractal\protocol\fractal\network\network.c |                   SendJSONPost:1478  | POST Request: POST /vm/ping HTTP/1.0\r 
|    Host: cube-celery-staging.herokuapp.com\r 
|    Content-Type: application/json\r 
|    Content-Length: 91\r 
|    Authorization: Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1OTc4NTEzOTMsIm5iZiI6MTU5Nzg1MTM5MywianRpIjoiYzIzZWQ4ODEtM2I5OC00ODZmLWI1MjYtMGZlYWUzYWQzMzdjIiwiaWRlbnRpdHkiOiJmcmFjdGFsLWFkbWluQGdtYWlsLmNvbSIsImZyZXNoIjpmYWxzZSwidHlwZSI6ImFjY2VzcyJ9.9fPIc3veFk-cwODx5fv2llh3y9ghX8ZqYlP1uVleanc\r 
|    \r 
|    { 
|                "version" : "07.23.2020-920d7057-A6184627", 
|                "available" : false 
|    }\r 
15:36:46:060 | INFO    | C:\Users\Fractal\protocol\server\handle_client_message.c |              handlePingMessage:156   | Ping Received - Client ID: 0, Ping ID 18 
15:36:46:082 | INFO    | C:\Users\Fractal\protocol\server\main.c |                      SendVideo:295   | Sending current frame! 
15:36:46:085 | INFO    | C:\Users\Fractal\protocol\fractal\video\cpucapturetransfer.c |           cpu_transfer_capture:24    | Average time transferring dxgi data to encoder frame on CPU: 0.005060 
15:36:46:131 | INFO    | C:\Users\Fractal\protocol\fractal\network\network.c |                   SendJSONPost:1501  | POST Request Webserver Response: HTTP/1.1 200 OK 
15:36:46:161 | INFO    | C:\Users\Fractal\protocol\server\handle_client_message.c |         handleUserInputMessage:100   | Handle user input message received 
15:36:46:161 | INFO    | C:\Users\Fractal\protocol\server\handle_client_message.c |         handleUserInputMessage:125   | Keyboard message received: 22, 64, 0 
15:36:46:229 | INFO    | C:\Users\Fractal\protocol\server\handle_client_message.c |         handleUserInputMessage:100   | Handle user input message received 
15:36:46:230 | INFO    | C:\Users\Fractal\protocol\server\handle_client_message.c |         handleUserInputMessage:125   | Keyboard message received: 224, 0, 0 
15:36:46:349 | INFO    | C:\Users\Fractal\protocol\server\main.c |                      SendVideo:295   | Sending current frame! 
15:36:46:498 | INFO    | C:\Users\Fractal\protocol\server\handle_client_message.c |           handleBitrateMessage:148   | MSG RECEIVED FOR MBPS: 10.728836 
15:36:46:561 | INFO    | C:\Users\Fractal\protocol\server\handle_client_message.c |              handlePingMessage:156   | Ping Received - Client ID: 0, Ping ID 19 
15:36:46:615 | INFO    | C:\Users\Fractal\protocol\server\main.c |                      SendVideo:295   | Sending current frame! 
15:36:46:717 | INFO    | C:\Users\Fractal\protocol\server\main.c |                      SendVideo:295   | Sending current frame! 
15:36:46:817 | INFO    | C:\Users\Fractal\protocol\server\main.c |                      SendVideo:295   | Sending current frame! 
15:36:46:821 | INFO    | C:\Users\Fractal\protocol\fractal\video\cpucapturetransfer.c |           cpu_transfer_capture:24    | Average time transferring dxgi data to encoder frame on CPU: 0.005590 
15:36:46:949 | INFO    | C:\Users\Fractal\protocol\server\handle_client_message.c |         handleUserInputMessage:100   | Handle user input message received 
15:36:46:961 | INFO    | C:\Users\Fractal\protocol\server\handle_client_message.c |         handleUserInputMessage:100   | Handle user input message received 
